parameters | time (second),Apical_voltage | v_mc (volt),Basol_voltage | v_sc (volt),Cell_concentration | Cl_i (M),Cell_concentration | glucose_i (M),Cell_concentration | J_w_A (umol_per_s),Cell_concentration | J_w_B (umol_per_s),Cell_concentration | K_i (M),Cell_concentration | Na_i (M),Cell_concentration | pH_int (per_second),Cell_concentration | v_cell (m3)
3832,-0.0334529,-0.0465076,0.0566375,0.000155263,-1.02E-07,-1.02E-07,0.11115,0.0458847,7.18768,1.85E-15
3833,-0.0334529,-0.0465076,0.0566375,0.000155263,-1.02E-07,-1.02E-07,0.11115,0.0458847,7.18768,1.85E-15
3834,-0.0334529,-0.0465076,0.0566375,0.000155263,-1.02E-07,-1.02E-07,0.11115,0.0458848,7.18768,1.85E-15
3835,-0.0334529,-0.0465076,0.0566374,0.000155263,-1.02E-07,-1.02E-07,0.11115,0.0458848,7.18768,1.85E-15
3836,-0.033453,-0.0465076,0.0566374,0.000155263,-1.02E-07,-1.02E-07,0.11115,0.0458848,7.18768,1.85E-15
3837,-0.033453,-0.0465076,0.0566373,0.000155263,-1.02E-07,-1.02E-07,0.11115,0.0458848,7.18768,1.85E-15
3838,-0.033453,-0.0465076,0.0566373,0.000155263,-1.02E-07,-1.02E-07,0.11115,0.0458849,7.18768,1.85E-15
3839,-0.033453,-0.0465076,0.0566373,0.000155263,-1.02E-07,-1.02E-07,0.11115,0.0458849,7.18768,1.85E-15
3840,-0.033453,-0.0465076,0.0566372,0.000155263,-1.02E-07,-1.02E-07,0.11115,0.0458849,7.18768,1.85E-15
3841,-0.033453,-0.0465077,0.0566372,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458849,7.18768,1.85E-15
3842,-0.033453,-0.0465077,0.0566371,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.045885,7.18768,1.85E-15
3843,-0.033453,-0.0465077,0.0566371,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.045885,7.18768,1.85E-15
3844,-0.033453,-0.0465077,0.0566371,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.045885,7.18768,1.85E-15
3845,-0.0334531,-0.0465077,0.056637,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.045885,7.18768,1.85E-15
3846,-0.0334531,-0.0465077,0.056637,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458851,7.18768,1.85E-15
3847,-0.0334531,-0.0465077,0.056637,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458851,7.18768,1.85E-15
3848,-0.0334531,-0.0465077,0.0566369,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458851,7.18768,1.85E-15
3849,-0.0334531,-0.0465077,0.0566369,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458851,7.18768,1.85E-15
3850,-0.0334531,-0.0465077,0.0566368,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458852,7.18768,1.85E-15
3851,-0.0334531,-0.0465078,0.0566368,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458852,7.18768,1.85E-15
3852,-0.0334531,-0.0465078,0.0566368,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458852,7.18768,1.85E-15
3853,-0.0334531,-0.0465078,0.0566367,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458852,7.18768,1.85E-15
3854,-0.0334532,-0.0465078,0.0566367,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458853,7.18768,1.85E-15
3855,-0.0334532,-0.0465078,0.0566366,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458853,7.18767,1.85E-15
3856,-0.0334532,-0.0465078,0.0566366,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458853,7.18767,1.85E-15
3857,-0.0334532,-0.0465078,0.0566366,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458853,7.18767,1.85E-15
3858,-0.0334532,-0.0465078,0.0566365,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458853,7.18767,1.85E-15
3859,-0.0334532,-0.0465078,0.0566365,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458854,7.18767,1.85E-15
3860,-0.0334532,-0.0465078,0.0566364,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458854,7.18767,1.85E-15
3861,-0.0334532,-0.0465079,0.0566364,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458854,7.18767,1.85E-15
3862,-0.0334532,-0.0465079,0.0566364,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458854,7.18767,1.85E-15
3863,-0.0334533,-0.0465079,0.0566363,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458855,7.18767,1.85E-15
3864,-0.0334533,-0.0465079,0.0566363,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458855,7.18767,1.85E-15
3865,-0.0334533,-0.0465079,0.0566363,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458855,7.18767,1.85E-15
3866,-0.0334533,-0.0465079,0.0566362,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458855,7.18767,1.85E-15
3867,-0.0334533,-0.0465079,0.0566362,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458856,7.18767,1.85E-15
3868,-0.0334533,-0.0465079,0.0566361,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458856,7.18767,1.85E-15
3869,-0.0334533,-0.0465079,0.0566361,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458856,7.18767,1.85E-15
3870,-0.0334533,-0.0465079,0.0566361,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458856,7.18767,1.85E-15
3871,-0.0334533,-0.046508,0.056636,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458857,7.18767,1.85E-15
3872,-0.0334533,-0.046508,0.056636,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458857,7.18767,1.85E-15
3873,-0.0334534,-0.046508,0.0566359,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458857,7.18767,1.85E-15
3874,-0.0334534,-0.046508,0.0566359,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458857,7.18767,1.85E-15
3875,-0.0334534,-0.046508,0.0566359,0.000155263,-1.02E-07,-1.02E-07,0.111149,0.0458858,7.18767,1.85E-15
3876,-0.0334534,-0.046508,0.0566358,0.000155264,-1.02E-07,-1.02E-07,0.111149,0.0458858,7.18767,1.85E-15
3877,-0.0334534,-0.046508,0.0566358,0.000155264,-1.02E-07,-1.02E-07,0.111149,0.0458858,7.18767,1.85E-15
3878,-0.0334534,-0.046508,0.0566358,0.000155264,-1.02E-07,-1.02E-07,0.111149,0.0458858,7.18767,1.85E-15
3879,-0.0334534,-0.046508,0.0566357,0.000155264,-1.02E-07,-1.02E-07,0.111149,0.0458858,7.18767,1.85E-15
3880,-0.0334534,-0.046508,0.0566357,0.000155264,-1.02E-07,-1.02E-07,0.111149,0.0458859,7.18767,1.85E-15
3881,-0.0334534,-0.046508,0.0566356,0.000155264,-1.02E-07,-1.02E-07,0.111149,0.0458859,7.18767,1.85E-15
3882,-0.0334534,-0.0465081,0.0566356,0.000155264,-1.02E-07,-1.02E-07,0.111149,0.0458859,7.18767,1.85E-15
3883,-0.0334535,-0.0465081,0.0566356,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458859,7.18767,1.85E-15
3884,-0.0334535,-0.0465081,0.0566355,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.045886,7.18767,1.85E-15
3885,-0.0334535,-0.0465081,0.0566355,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.045886,7.18767,1.85E-15
3886,-0.0334535,-0.0465081,0.0566354,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.045886,7.18767,1.85E-15
3887,-0.0334535,-0.0465081,0.0566354,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.045886,7.18767,1.85E-15
3888,-0.0334535,-0.0465081,0.0566354,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458861,7.18767,1.85E-15
3889,-0.0334535,-0.0465081,0.0566353,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458861,7.18767,1.85E-15
3890,-0.0334535,-0.0465081,0.0566353,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458861,7.18767,1.85E-15
3891,-0.0334535,-0.0465081,0.0566353,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458861,7.18767,1.85E-15
3892,-0.0334536,-0.0465082,0.0566352,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458861,7.18767,1.85E-15
3893,-0.0334536,-0.0465082,0.0566352,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458862,7.18767,1.85E-15
3894,-0.0334536,-0.0465082,0.0566351,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458862,7.18766,1.85E-15
3895,-0.0334536,-0.0465082,0.0566351,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458862,7.18766,1.85E-15
3896,-0.0334536,-0.0465082,0.0566351,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458862,7.18766,1.85E-15
3897,-0.0334536,-0.0465082,0.056635,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458863,7.18766,1.85E-15
3898,-0.0334536,-0.0465082,0.056635,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458863,7.18766,1.85E-15
3899,-0.0334536,-0.0465082,0.056635,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458863,7.18766,1.85E-15
3900,-0.0334536,-0.0465082,0.0566349,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458863,7.18766,1.85E-15
3901,-0.0334536,-0.0465082,0.0566349,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458864,7.18766,1.85E-15
3902,-0.0334537,-0.0465082,0.0566348,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458864,7.18766,1.85E-15
3903,-0.0334537,-0.0465083,0.0566348,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458864,7.18766,1.85E-15
3904,-0.0334537,-0.0465083,0.0566348,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458864,7.18766,1.85E-15
3905,-0.0334537,-0.0465083,0.0566347,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458864,7.18766,1.85E-15
3906,-0.0334537,-0.0465083,0.0566347,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458865,7.18766,1.85E-15
3907,-0.0334537,-0.0465083,0.0566347,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458865,7.18766,1.85E-15
3908,-0.0334537,-0.0465083,0.0566346,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458865,7.18766,1.85E-15
3909,-0.0334537,-0.0465083,0.0566346,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458865,7.18766,1.85E-15
3910,-0.0334537,-0.0465083,0.0566346,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458866,7.18766,1.85E-15
3911,-0.0334537,-0.0465083,0.0566345,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458866,7.18766,1.85E-15
3912,-0.0334538,-0.0465083,0.0566345,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458866,7.18766,1.85E-15
3913,-0.0334538,-0.0465083,0.0566344,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458866,7.18766,1.85E-15
3914,-0.0334538,-0.0465084,0.0566344,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458867,7.18766,1.85E-15
3915,-0.0334538,-0.0465084,0.0566344,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458867,7.18766,1.85E-15
3916,-0.0334538,-0.0465084,0.0566343,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458867,7.18766,1.85E-15
3917,-0.0334538,-0.0465084,0.0566343,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458867,7.18766,1.85E-15
3918,-0.0334538,-0.0465084,0.0566343,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458867,7.18766,1.85E-15
3919,-0.0334538,-0.0465084,0.0566342,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458868,7.18766,1.85E-15
3920,-0.0334538,-0.0465084,0.0566342,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458868,7.18766,1.85E-15
3921,-0.0334538,-0.0465084,0.0566341,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458868,7.18766,1.85E-15
3922,-0.0334539,-0.0465084,0.0566341,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458868,7.18766,1.85E-15
3923,-0.0334539,-0.0465084,0.0566341,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458869,7.18766,1.85E-15
3924,-0.0334539,-0.0465084,0.056634,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458869,7.18766,1.85E-15
3925,-0.0334539,-0.0465085,0.056634,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458869,7.18766,1.85E-15
3926,-0.0334539,-0.0465085,0.056634,0.000155264,-1.02E-07,-1.02E-07,0.111148,0.0458869,7.18766,1.85E-15
3927,-0.0334539,-0.0465085,0.0566339,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458869,7.18766,1.85E-15
3928,-0.0334539,-0.0465085,0.0566339,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.045887,7.18766,1.85E-15
3929,-0.0334539,-0.0465085,0.0566339,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.045887,7.18766,1.85E-15
3930,-0.0334539,-0.0465085,0.0566338,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.045887,7.18766,1.85E-15
3931,-0.0334539,-0.0465085,0.0566338,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.045887,7.18766,1.85E-15
3932,-0.033454,-0.0465085,0.0566337,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458871,7.18766,1.85E-15
3933,-0.033454,-0.0465085,0.0566337,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458871,7.18766,1.85E-15
3934,-0.033454,-0.0465085,0.0566337,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458871,7.18766,1.85E-15
3935,-0.033454,-0.0465085,0.0566336,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458871,7.18765,1.85E-15
3936,-0.033454,-0.0465086,0.0566336,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458871,7.18765,1.85E-15
3937,-0.033454,-0.0465086,0.0566336,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458872,7.18765,1.85E-15
3938,-0.033454,-0.0465086,0.0566335,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458872,7.18765,1.85E-15
3939,-0.033454,-0.0465086,0.0566335,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458872,7.18765,1.85E-15
3940,-0.033454,-0.0465086,0.0566335,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458872,7.18765,1.85E-15
3941,-0.033454,-0.0465086,0.0566334,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458873,7.18765,1.85E-15
3942,-0.0334541,-0.0465086,0.0566334,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458873,7.18765,1.85E-15
3943,-0.0334541,-0.0465086,0.0566334,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458873,7.18765,1.85E-15
3944,-0.0334541,-0.0465086,0.0566333,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458873,7.18765,1.85E-15
3945,-0.0334541,-0.0465086,0.0566333,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458873,7.18765,1.85E-15
3946,-0.0334541,-0.0465086,0.0566332,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458874,7.18765,1.85E-15
3947,-0.0334541,-0.0465087,0.0566332,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458874,7.18765,1.85E-15
3948,-0.0334541,-0.0465087,0.0566332,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458874,7.18765,1.85E-15
3949,-0.0334541,-0.0465087,0.0566331,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458874,7.18765,1.85E-15
3950,-0.0334541,-0.0465087,0.0566331,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458875,7.18765,1.85E-15
3951,-0.0334541,-0.0465087,0.0566331,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458875,7.18765,1.85E-15
3952,-0.0334542,-0.0465087,0.056633,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458875,7.18765,1.85E-15
3953,-0.0334542,-0.0465087,0.056633,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458875,7.18765,1.85E-15
3954,-0.0334542,-0.0465087,0.056633,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458875,7.18765,1.85E-15
3955,-0.0334542,-0.0465087,0.0566329,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458876,7.18765,1.85E-15
3956,-0.0334542,-0.0465087,0.0566329,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458876,7.18765,1.85E-15
3957,-0.0334542,-0.0465087,0.0566329,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458876,7.18765,1.85E-15
3958,-0.0334542,-0.0465088,0.0566328,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458876,7.18765,1.85E-15
3959,-0.0334542,-0.0465088,0.0566328,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458877,7.18765,1.85E-15
3960,-0.0334542,-0.0465088,0.0566327,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458877,7.18765,1.85E-15
3961,-0.0334542,-0.0465088,0.0566327,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458877,7.18765,1.85E-15
3962,-0.0334542,-0.0465088,0.0566327,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458877,7.18765,1.85E-15
3963,-0.0334543,-0.0465088,0.0566326,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458877,7.18765,1.85E-15
3964,-0.0334543,-0.0465088,0.0566326,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458878,7.18765,1.85E-15
3965,-0.0334543,-0.0465088,0.0566326,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458878,7.18765,1.85E-15
3966,-0.0334543,-0.0465088,0.0566325,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458878,7.18765,1.85E-15
3967,-0.0334543,-0.0465088,0.0566325,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458878,7.18765,1.85E-15
3968,-0.0334543,-0.0465088,0.0566325,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458878,7.18765,1.85E-15
3969,-0.0334543,-0.0465089,0.0566324,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458879,7.18765,1.85E-15
3970,-0.0334543,-0.0465089,0.0566324,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458879,7.18765,1.85E-15
3971,-0.0334543,-0.0465089,0.0566324,0.000155264,-1.02E-07,-1.02E-07,0.111147,0.0458879,7.18765,1.85E-15
3972,-0.0334543,-0.0465089,0.0566323,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458879,7.18765,1.85E-15
3973,-0.0334544,-0.0465089,0.0566323,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.045888,7.18765,1.85E-15
3974,-0.0334544,-0.0465089,0.0566323,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.045888,7.18765,1.85E-15
3975,-0.0334544,-0.0465089,0.0566322,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.045888,7.18765,1.85E-15
3976,-0.0334544,-0.0465089,0.0566322,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.045888,7.18765,1.85E-15
3977,-0.0334544,-0.0465089,0.0566322,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.045888,7.18765,1.85E-15
3978,-0.0334544,-0.0465089,0.0566321,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458881,7.18764,1.85E-15
3979,-0.0334544,-0.0465089,0.0566321,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458881,7.18764,1.85E-15
3980,-0.0334544,-0.0465089,0.0566321,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458881,7.18764,1.85E-15
3981,-0.0334544,-0.046509,0.056632,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458881,7.18764,1.85E-15
3982,-0.0334544,-0.046509,0.056632,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458881,7.18764,1.85E-15
3983,-0.0334544,-0.046509,0.056632,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458882,7.18764,1.85E-15
3984,-0.0334545,-0.046509,0.0566319,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458882,7.18764,1.85E-15
3985,-0.0334545,-0.046509,0.0566319,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458882,7.18764,1.85E-15
3986,-0.0334545,-0.046509,0.0566318,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458882,7.18764,1.85E-15
3987,-0.0334545,-0.046509,0.0566318,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458883,7.18764,1.85E-15
3988,-0.0334545,-0.046509,0.0566318,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458883,7.18764,1.85E-15
3989,-0.0334545,-0.046509,0.0566317,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458883,7.18764,1.85E-15
3990,-0.0334545,-0.046509,0.0566317,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458883,7.18764,1.85E-15
3991,-0.0334545,-0.046509,0.0566317,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458883,7.18764,1.85E-15
3992,-0.0334545,-0.0465091,0.0566316,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458884,7.18764,1.85E-15
3993,-0.0334545,-0.0465091,0.0566316,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458884,7.18764,1.85E-15
3994,-0.0334546,-0.0465091,0.0566316,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458884,7.18764,1.85E-15
3995,-0.0334546,-0.0465091,0.0566315,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458884,7.18764,1.85E-15
3996,-0.0334546,-0.0465091,0.0566315,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458884,7.18764,1.85E-15
3997,-0.0334546,-0.0465091,0.0566315,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458885,7.18764,1.85E-15
3998,-0.0334546,-0.0465091,0.0566314,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458885,7.18764,1.85E-15
3999,-0.0334546,-0.0465091,0.0566314,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458885,7.18764,1.85E-15
4000,-0.0334546,-0.0465091,0.0566314,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458885,7.18764,1.85E-15
4001,-0.0334546,-0.0465091,0.0566313,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458885,7.18764,1.85E-15
4002,-0.0334546,-0.0465091,0.0566313,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458886,7.18764,1.85E-15
4003,-0.0334546,-0.0465091,0.0566313,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458886,7.18764,1.85E-15
4004,-0.0334546,-0.0465092,0.0566312,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458886,7.18764,1.85E-15
4005,-0.0334547,-0.0465092,0.0566312,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458886,7.18764,1.85E-15
4006,-0.0334547,-0.0465092,0.0566312,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458886,7.18764,1.85E-15
4007,-0.0334547,-0.0465092,0.0566311,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458887,7.18764,1.85E-15
4008,-0.0334547,-0.0465092,0.0566311,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458887,7.18764,1.85E-15
4009,-0.0334547,-0.0465092,0.0566311,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458887,7.18764,1.85E-15
4010,-0.0334547,-0.0465092,0.056631,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458887,7.18764,1.85E-15
4011,-0.0334547,-0.0465092,0.056631,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458888,7.18764,1.85E-15
4012,-0.0334547,-0.0465092,0.056631,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458888,7.18764,1.85E-15
4013,-0.0334547,-0.0465092,0.0566309,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458888,7.18764,1.85E-15
4014,-0.0334547,-0.0465092,0.0566309,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458888,7.18764,1.85E-15
4015,-0.0334547,-0.0465092,0.0566309,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458888,7.18764,1.85E-15
4016,-0.0334548,-0.0465093,0.0566308,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458889,7.18764,1.85E-15
4017,-0.0334548,-0.0465093,0.0566308,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458889,7.18764,1.85E-15
4018,-0.0334548,-0.0465093,0.0566308,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458889,7.18764,1.85E-15
4019,-0.0334548,-0.0465093,0.0566307,0.000155264,-1.02E-07,-1.02E-07,0.111146,0.0458889,7.18764,1.85E-15
4020,-0.0334548,-0.0465093,0.0566307,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458889,7.18764,1.85E-15
4021,-0.0334548,-0.0465093,0.0566307,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.045889,7.18764,1.85E-15
4022,-0.0334548,-0.0465093,0.0566306,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.045889,7.18764,1.85E-15
4023,-0.0334548,-0.0465093,0.0566306,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.045889,7.18763,1.85E-15
4024,-0.0334548,-0.0465093,0.0566306,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.045889,7.18763,1.85E-15
4025,-0.0334548,-0.0465093,0.0566305,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.045889,7.18763,1.85E-15
4026,-0.0334548,-0.0465093,0.0566305,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458891,7.18763,1.85E-15
4027,-0.0334549,-0.0465093,0.0566305,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458891,7.18763,1.85E-15
4028,-0.0334549,-0.0465094,0.0566304,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458891,7.18763,1.85E-15
4029,-0.0334549,-0.0465094,0.0566304,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458891,7.18763,1.85E-15
4030,-0.0334549,-0.0465094,0.0566304,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458891,7.18763,1.85E-15
4031,-0.0334549,-0.0465094,0.0566303,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458892,7.18763,1.85E-15
4032,-0.0334549,-0.0465094,0.0566303,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458892,7.18763,1.85E-15
4033,-0.0334549,-0.0465094,0.0566303,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458892,7.18763,1.85E-15
4034,-0.0334549,-0.0465094,0.0566302,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458892,7.18763,1.85E-15
4035,-0.0334549,-0.0465094,0.0566302,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458892,7.18763,1.85E-15
